precinct,candidate,votes
Summit Hill Borough - First Ward,TIM DEFOOR (REP),214
Summit Hill Borough - Second Ward,BOB GOODRICH (CON),2
Summit Hill Borough - Second Ward,ERIC K ANTON (ASP),2
Summit Hill Borough - Second Ward,MALCOLM KENYATTA (DEM),165
Summit Hill Borough - Second Ward,REECE SMITH (LIB),10
Summit Hill Borough - Second Ward,TIM DEFOOR (REP),208
Summit Hill Borough - Third Ward/First,BOB GOODRICH (CON),10
Summit Hill Borough - Third Ward/First,ERIC K ANTON (ASP),2
Summit Hill Borough - Third Ward/First,MALCOLM KENYATTA (DEM),172
Summit Hill Borough - Third Ward/First,REECE SMITH (LIB),11
Summit Hill Borough - Third Ward/First,TIM DEFOOR (REP),286
Summit Hill Borough - Third Ward/Second,BOB GOODRICH (CON),4
Summit Hill Borough - Third Ward/Second,ERIC K ANTON (ASP),0
Summit Hill Borough - Third Ward/Second,MALCOLM KENYATTA (DEM),93
Summit Hill Borough - Third Ward/Second,REECE SMITH (LIB),4
Summit Hill Borough - Third Ward/Second,TIM DEFOOR (REP),181
Towamensing Township - North,BOB GOODRICH (CON),5
Towamensing Township - North,ERIC K ANTON (ASP),3
Towamensing Township - North,MALCOLM KENYATTA (DEM),263
Towamensing Township - North,REECE SMITH (LIB),36
Towamensing Township - North,TIM DEFOOR (REP),637
Towamensing Township - South-1,BOB GOODRICH (CON),9
Towamensing Township - South-1,ERIC K ANTON (ASP),2
Towamensing Township - South-1,MALCOLM KENYATTA (DEM),229
Towamensing Township - South-1,REECE SMITH (LIB),25
Towamensing Township - South-1,TIM DEFOOR (REP),690
Towamensing Township - South-2,BOB GOODRICH (CON),7
Towamensing Township - South-2,ERIC K ANTON (ASP),5
Towamensing Township - South-2,MALCOLM KENYATTA (DEM),216
Towamensing Township - South-2,REECE SMITH (LIB),6
Towamensing Township - South-2,TIM DEFOOR (REP),578
Weatherly Borough - East,BOB GOODRICH (CON),11
Weatherly Borough - East,ERIC K ANTON (ASP),1
Weatherly Borough - East,MALCOLM KENYATTA (DEM),209
Weatherly Borough - East,REECE SMITH (LIB),15
Weatherly Borough - East,TIM DEFOOR (REP),531
Weatherly Borough - West,BOB GOODRICH (CON),3
Weatherly Borough - West,ERIC K ANTON (ASP),0
Weatherly Borough - West,MALCOLM KENYATTA (DEM),99
Weatherly Borough - West,REECE SMITH (LIB),4
Weatherly Borough - West,TIM DEFOOR (REP),286
Weissport Borough,BOB GOODRICH (CON),2
Weissport Borough,ERIC K ANTON (ASP),3
Weissport Borough,MALCOLM KENYATTA (DEM),43
Weissport Borough,REECE SMITH (LIB),5
Weissport Borough,TIM DEFOOR (REP),99
