election,state,county,precinct,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,United States Senator,Leila Hazou,GRN,Total,7,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,United States Senator,Marty Selker,CST,Total,4,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Attorney General,Eugene DePasquale,DEM,Total,378,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Attorney General,Dave Sunday,REP,Total,165,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Attorney General,Robert Cowburn,LIB,Total,12,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Attorney General,Richard L Weiss,GRN,Total,14,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Attorney General,Justin L Magill,CST,Total,6,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Attorney General,Eric L Settle,FWD,Total,4,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Auditor General,Malcolm Kenyatta,DEM,Total,386,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Auditor General,Tim DeFoor,REP,Total,153,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Auditor General,Reece Smith,LIB,Total,13,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Auditor General,Eric K Anton,ASP,Total,12,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Auditor General,Bob Goodrich,CST,Total,6,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,State Treasurer,Erin McClelland,DEM,Total,371,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,State Treasurer,Stacy Garrity,REP,Total,161,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,State Treasurer,Nickolas Ciesielski,LIB,Total,14,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,State Treasurer,Troy Bowman,CST,Total,11,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,State Treasurer,Chris Foster,FWD,Total,6,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Representative in Congress in the 7th Congressional Dist,Susan Wild,DEM,Total,437,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Representative in Congress in the 7th Congressional Dist,Ryan E Mackenzie,REP,Total,173,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Representative in the General Assembly in the 22nd Legis,Joshua M Siegel,DEM,Total,435,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Allentown Ordinance No. 16037,,Yes,Total,312,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Allentown Ordinance No. 16037,,No,Total,167,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Presidential Electors,Harris and Walz,DEM,Total,326,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Presidential Electors,Trump and Vance,REP,Total,193,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Presidential Electors,Oliver and ter Maat,LIB,Total,2,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Presidential Electors,Stein and Ware,GRN,Total,4,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,United States Senator,Robert P Casey Jr,DEM,Total,317,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,United States Senator,Dave McCormick,REP,Total,159,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,United States Senator,John C Thomas,LIB,Total,11,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,United States Senator,Leila Hazou,GRN,Total,12,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,United States Senator,Marty Selker,CST,Total,5,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Attorney General,Eugene DePasquale,DEM,Total,308,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Attorney General,Dave Sunday,REP,Total,157,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Attorney General,Robert Cowburn,LIB,Total,16,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Attorney General,Richard L Weiss,GRN,Total,6,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Attorney General,Justin L Magill,CST,Total,6,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Attorney General,Eric L Settle,FWD,Total,4,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Auditor General,Malcolm Kenyatta,DEM,Total,308,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Auditor General,Tim DeFoor,REP,Total,149,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Auditor General,Reece Smith,LIB,Total,22,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Auditor General,Eric K Anton,ASP,Total,5,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Auditor General,Bob Goodrich,CST,Total,9,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,State Treasurer,Erin McClelland,DEM,Total,296,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,State Treasurer,Stacy Garrity,REP,Total,160,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,State Treasurer,Nickolas Ciesielski,LIB,Total,15,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,State Treasurer,Troy Bowman,CST,Total,8,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,State Treasurer,Chris Foster,FWD,Total,9,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Representative in Congress in the 7th Congressional Dist,Susan Wild,DEM,Total,328,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Representative in Congress in the 7th Congressional Dist,Ryan E Mackenzie,REP,Total,173,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Representative in the General Assembly in the 22nd Legis,Joshua M Siegel,DEM,Total,393,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Allentown Ordinance No. 16037,,Yes,Total,310,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 3rd Dist- 0018,Allentown Ordinance No. 16037,,No,Total,124,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,Presidential Electors,Harris and Walz,DEM,Total,330,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,Presidential Electors,Trump and Vance,REP,Total,170,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,Presidential Electors,Oliver and ter Maat,LIB,Total,3,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,Presidential Electors,Stein and Ware,GRN,Total,1,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,United States Senator,Robert P Casey Jr,DEM,Total,334,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,United States Senator,Dave McCormick,REP,Total,143,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 4th Dist- 0019,United States Senator,John C Thomas,LIB,Total,12,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
