precinct,candidate,votes
Parryville Borough,TIMOTHY HENNING (LIB),6
Penn Forest Township - East,DAVE ARGALL (REP),663
Penn Forest Township - East,JOHN ZUGAREK (DEM),401
Penn Forest Township - East,TIMOTHY HENNING (LIB),18
Penn Forest Township - Middle,DAVE ARGALL (REP),507
Penn Forest Township - Middle,JOHN ZUGAREK (DEM),267
Penn Forest Township - Middle,TIMOTHY HENNING (LIB),22
Penn Forest Township - Northeast,DAVE ARGALL (REP),757
Penn Forest Township - Northeast,JOHN ZUGAREK (DEM),409
Penn Forest Township - Northeast,TIMOTHY HENNING (LIB),28
Penn Forest Township - Northwest,DAVE ARGALL (REP),933
Penn Forest Township - Northwest,JOHN ZUGAREK (DEM),351
Penn Forest Township - Northwest,TIMOTHY HENNING (LIB),30
Penn Forest Township - Southwest,DAVE ARGALL (REP),685
Penn Forest Township - Southwest,JOHN ZUGAREK (DEM),350
Penn Forest Township - Southwest,TIMOTHY HENNING (LIB),12
Summit Hill Borough - First Ward,DAVE ARGALL (REP),244
Summit Hill Borough - First Ward,JOHN ZUGAREK (DEM),127
Summit Hill Borough - First Ward,TIMOTHY HENNING (LIB),5
Summit Hill Borough - Second Ward,DAVE ARGALL (REP),240
Summit Hill Borough - Second Ward,JOHN ZUGAREK (DEM),144
Summit Hill Borough - Second Ward,TIMOTHY HENNING (LIB),8
Summit Hill Borough - Third Ward/First,DAVE ARGALL (REP),317
Summit Hill Borough - Third Ward/First,JOHN ZUGAREK (DEM),151
Summit Hill Borough - Third Ward/First,TIMOTHY HENNING (LIB),13
Summit Hill Borough - Third Ward/Second,DAVE ARGALL (REP),204
Summit Hill Borough - Third Ward/Second,JOHN ZUGAREK (DEM),76
Summit Hill Borough - Third Ward/Second,TIMOTHY HENNING (LIB),3
Towamensing Township - North,DAVE ARGALL (REP),634
Towamensing Township - North,JOHN ZUGAREK (DEM),249
Towamensing Township - North,TIMOTHY HENNING (LIB),28
Towamensing Township - South-1,DAVE ARGALL (REP),690
Towamensing Township - South-1,JOHN ZUGAREK (DEM),212
Towamensing Township - South-1,TIMOTHY HENNING (LIB),25
Towamensing Township - South-2,DAVE ARGALL (REP),572
Towamensing Township - South-2,JOHN ZUGAREK (DEM),201
Towamensing Township - South-2,TIMOTHY HENNING (LIB),10
Weatherly Borough - East,DAVE ARGALL (REP),547
Weatherly Borough - East,JOHN ZUGAREK (DEM),194
Weatherly Borough - East,TIMOTHY HENNING (LIB),16
Weatherly Borough - West,DAVE ARGALL (REP),294
Weatherly Borough - West,JOHN ZUGAREK (DEM),85
Weatherly Borough - West,TIMOTHY HENNING (LIB),6
Weissport Borough,DAVE ARGALL (REP),103
Weissport Borough,JOHN ZUGAREK (DEM),37
Weissport Borough,TIMOTHY HENNING (LIB),8
